filename,issue,usable,comments
2-16441561-3.html.csv,none,TRUE,
1-1969577-1.html.csv,FM,FALSE,"wrong order and missing rows, also wrong numbers"
2-18369370-4.html.csv,none,TRUE,
2-10809157-3.html.csv,none,TRUE,
2-1634072-2.html.csv,AR,FALSE,
2-10713126-4.html.csv,AC,FALSE,
1-15869204-8.html.csv,none,TRUE,
2-10767641-2.html.csv,none,TRUE,
2-16140345-7.html.csv,AC,TRUE,
2-18662700-3.html.csv,none,TRUE,
2-15687212-1.html.csv,AC,FALSE,
2-16791999-1.html.csv,none,TRUE,
2-16441868-2.html.csv,none,TRUE,
2-10776330-2.html.csv,none,TRUE,
1-1566852-4.html.csv,none,TRUE,
2-13045475-1.html.csv,AC,FALSE,Notes missing
2-13762472-8.html.csv,none,TRUE,
1-12407546-2.html.csv,none,TRUE,
2-10790099-5.html.csv,none,TRUE,
2-15399415-1.html.csv,none,TRUE,
2-11048203-1.html.csv,none,TRUE,
2-16003508-1.html.csv,none,TRUE,
2-18662686-4.html.csv,none,TRUE,
2-14407512-19.html.csv,BM,TRUE,name missspelled
2-11788447-2.html.csv,none,TRUE,
2-18167542-1.html.csv,none,TRUE,
2-15188879-2.html.csv,AC,TRUE,missing comment section
2-10808681-4.html.csv,none,TRUE,
2-13594823-1.html.csv,BM,TRUE,name missspelled
2-1235776-2.html.csv,none,TRUE,
2-1236138-1.html.csv,FM,FALSE,
2-1517891-1.html.csv,AC,FALSE,
2-1894556-1.html.csv,none,TRUE,
2-10806852-9.html.csv,none,TRUE,
2-17290159-1.html.csv,none,TRUE,
1-27816698-2.html.csv,BM,FALSE,read nonexisting data
1-25461946-5.html.csv,AR,TRUE,read all but the last row
1-1140085-2.html.csv,AR,TRUE,read all but the last row
2-16514242-7.html.csv,none,TRUE,
2-16615322-1.html.csv,none,TRUE,
1-27631002-1.html.csv,AR,TRUE,read all but the last row
2-12760940-1.html.csv,FM,FALSE,read nonexistent data
2-13598632-1.html.csv,none,TRUE,
2-14904515-1.html.csv,AC,TRUE,missing 2 columns with indexing and reference
2-14035388-2.html.csv,BM,FALSE,read nonexistent data
2-11711773-1.html.csv,none,TRUE,
2-1477679-2.html.csv,BM,FALSE,data is all over the place
2-11947078-2.html.csv,BM,TRUE,misread character
2-167482-1.html.csv,FM,FALSE,missing data and missing columns and partial data mismatch
2-17100961-44.html.csv,none,TRUE,
2-14890412-3.html.csv,AC,FALSE,missing lots of columns
2-11650849-12.html.csv,AC,FALSE,missing a column and messed up order
2-15198842-12.html.csv,none,TRUE,missspelled a column
2-18937160-2.html.csv,FM,FALSE,messed up order and added rows
1-2509505-1.html.csv,AR,TRUE,missing a column
2-15593730-1.html.csv,none,TRUE,
2-17921347-4.html.csv,FM,FALSE,"added header to body as row, missing columns"
1-23284271-11.html.csv,FM,TRUE,missing row and column
2-17941795-5.html.csv,FM,FALSE,"missing rows and colums, also confused the entries"
1-18946749-4.html.csv,AR,TRUE,
2-10807990-12.html.csv,none,TRUE,
2-17265352-1.html.csv,AC,TRUE,missing notes
2-18732289-1.html.csv,none,TRUE,
2-18018248-3.html.csv,FM,TRUE,"data inside body is correct, but headers are messed up in order and name"
2-14094220-1.html.csv,AC,TRUE,missing a empty notes column
2-1833981-2.html.csv,FM,FALSE,missing a lot of everything
